# generated by tools/gen-entropy-model.py -- do not edit
# exact entropy of the word part, under no-repeat drawing and pooled mix.
# digits are uniform and independent and are added by the app.
# pool sizes: adjective=2675, noun=2782, verb=2893
# language	type	words	hmin	h2
de	adjective	1	8.092757141	8.092757141
fr	adjective	1	8.118941073	8.118941073
it	adjective	1	8.103287808	8.103287808
nl	adjective	1	8.113742166	8.113742166
pl	adjective	1	8.113742166	8.113742166
ro	adjective	1	7.977279923	7.977279923
la	adjective	1	8.027905997	8.027905997
mix	adjective	1	11.385323176	11.385323176
random	adjective	1	8.976656825	11.187446035
en	adjective	2	16.452820365	16.452820365
no	adjective	2	16.180219982	16.180219982
pt	adjective	2	16.201319891	16.201319891
es	adjective	2	16.253404329	16.253404329
de	adjective	2	16.180219982	16.180219982
fr	adjective	2	16.232683239	16.232683239
it	adjective	2	16.201319891	16.201319891
nl	adjective	2	16.222266623	16.222266623
pl	adjective	2	16.222266623	16.222266623
ro	adjective	2	15.948823477	15.948823477
la	adjective	2	16.050273810	16.050273810
mix	adjective	2	22.770106926	22.770106926
random	adjective	2	17.681444294	19.558156526
en	adjective	3	24.671988885	24.671988885
no	adjective	3	24.262369024	24.262369024
pt	adjective	3	24.294077032	24.294077032
es	adjective	3	24.372345401	24.372345401
de	adjective	3	24.262369024	24.262369024
fr	adjective	3	24.341207696	24.341207696
it	adjective	3	24.294077032	24.294077032
nl	adjective	3	24.325554431	24.325554431
pl	adjective	3	24.325554431	24.325554431
ro	adjective	3	23.914607762	23.914607762
la	adjective	3	24.067082097	24.067082097
mix	adjective	3	34.154351049	34.154351049
random	adjective	3	26.035007087	27.693938852
en	adjective	4	32.886308006	32.886308006
no	adjective	4	32.339184621	32.339184621
pt	adjective	4	32.381539874	32.381539874
es	adjective	4	32.486087568	32.486087568
de	adjective	4	32.339184621	32.339184621
fr	adjective	4	32.444495504	32.444495504
it	adjective	4	32.381539874	32.381539874
nl	adjective	4	32.423586514	32.423586514
pl	adjective	4	32.423586514	32.423586514
ro	adjective	4	31.874609694	31.874609694
la	adjective	4	32.078309353	32.078309353
mix	adjective	4	45.538055341	45.538055341
random	adjective	4	34.071996290	35.789642432
en	adjective	5	41.095761372	41.095761372
no	adjective	5	40.410646983	40.410646983
pt	adjective	5	40.463688915	40.463688915
es	adjective	5	40.594612024	40.594612024
de	adjective	5	40.410646983	40.410646983
fr	adjective	5	40.542527587	40.542527587
it	adjective	5	40.463688915	40.463688915
